Category Level 1,Category Level 2,Category Level 3,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Collectables,Artwork,,,,,,,,,,
Collectables,Autographs/Memorabilia,,BBWGIKLJC4GTI,7 funko pops,-1,-£9.99,-£2.50,-£1.25,-£8.74,-£6.24,71.40%
Collectables,Autographs/Memorabilia,,BBWGLEFZSNZDM,Decorative Plate,1,£39.99,£20.00,£3.33,£36.66,£16.66,45.44%
Collectables,Autographs/Memorabilia,,BBTXS1TGNLC3S,STAR WARS,1,£29.99,£15.00,£2.50,£27.49,£12.49,45.44%
Collectables,Autographs/Memorabilia,,BBTXWMKNSL8ON,STAR WARS,1,£29.99,£15.00,£2.50,£27.49,£12.49,45.44%
Collectables,Autographs/Memorabilia,,BBTXJ9POVCWTA,the beatles wall art x3,1,£199.99,£30.00,£28.33,£171.66,£141.66,82.52%
Collectables,Autographs/Memorabilia,,BBWGQTDS5DALQ,Glee Signed Photograph,1,£5.00,£2.50,£0.42,£4.58,£2.08,45.45%
Collectables,Comics & books,,BBWGD5318E30C,x-men apocalypse wars comic book M,-1,-£15.99,-£7.00,-£1.50,-£14.49,-£7.49,51.70%
Collectables,Comics & books,,BBWGE0BW4MDMM,Marvel Puzzle and Comic Book,1,£10.00,£5.00,£0.83,£9.17,£4.17,45.45%
Collectables,Comics & books,,BBWG3BO1NH7NG,Joke and Batman Figure,1,£15.00,£5.00,£1.67,£13.33,£8.33,62.50%
Collectables,Comics & books,,BBWGPG9HUCAGF,goku figure MISISNG HAND,1,£10.00,£5.00,£0.83,£9.17,£4.17,45.45%
Collectables,Comics & books,,BBWGE071A52BD,"comics (£3 each, or 4 or £10)",2,£6.00,£1.00,£0.83,£5.17,£4.17,80.65%
Collectables,Die Cast/Vehicles,,BBWG40997FA65,Misc Car Collection,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Collectables,Die Cast/Vehicles,,BBWG9314B82D2,scalextric ferrari gt 250 berlinetta,-1,-£14.99,-£3.00,-£2.00,-£12.99,-£9.99,76.91%
Collectables,Die Cast/Vehicles,,BBWG61A716A84,scalextric renault elf 5,1,£9.99,£2.00,£1.33,£8.66,£6.66,76.90%
Collectables,Die Cast/Vehicles,,BBWGD2965B146,scalextric ferrari gt 250 berlinetta,1,£14.99,£1.80,£2.20,£12.79,£10.99,85.93%
Collectables,Die Cast/Vehicles,,BBWG2AB28CBD1,scalextric c.120 martini brabham bt 44b,1,£5.99,£0.10,£0.98,£5.01,£4.91,98.00%
Collectables,Figures,,BBWG3FCCCB04F,Model Plane,1,£9.99,£5.00,£0.83,£9.16,£4.16,45.40%
Collectables,Figures,,BBWG3E4A242C4,collectable figures,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
Collectables,Figures,,BBWG4002D0B6E,collectable figures,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
Collectables,Figures,,BBWGCEF8DD1F8,collectable figures,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
Collectables,Figures,,BBWG4D0E1B375,collectable figures,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
Collectables,Figures,,BBWG29B410AF4,collectable figures,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
Collectables,Figures,,BBWGDBB89CBD8,collectable figures,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
Collectables,Figures,,BBWG82661D04A,collectable figures,1,£4.99,£2.50,£0.42,£4.58,£2.08,45.36%
