Category Level 1,Category Level 2,Category Level 3,Barserial,Name,Quantity,Retail,Cost,VAT,Net,Total Margin,Margin %
Jewellery & Watches,Bangles,,BBTXD7285028C,Michael Kors,1,£49.99,£49.99,£0.00,£49.99,£0.00,0.00%
Jewellery & Watches,Bangles,,BBTXA49B5E66C,sterling silver thick bangle,1,£29.99,£15.00,£2.50,£27.49,£12.49,45.44%
Jewellery & Watches,Bangles,,BBTXCEEF2DAF0,pandora Bangle,1,£49.99,£15.00,£5.83,£44.16,£29.16,66.03%
Jewellery & Watches,Bangles,,BBTXA179FFEDD,Bangles,1,£10.00,£4.00,£1.00,£9.00,£5.00,55.56%
Jewellery & Watches,Bangles,,BBTXKWH1KGGOS,silver bangle hallmarked 999 (japenese),1,£149.99,£30.00,£20.00,£129.99,£99.99,76.92%
Jewellery & Watches,Bangles,,BBTXJWIDMEYEN,Bangles,1,£9.99,£5.00,£0.83,£9.16,£4.16,45.40%
Jewellery & Watches,Bangles,,BBTXPZW51ZCNC,GOLD PLATED BANGLE,1,£24.99,£10.00,£2.50,£22.49,£12.49,55.54%
Jewellery & Watches,Bangles,,BBTXR8XPAF7UX,moon star Bangles,1,£44.99,£10.00,£5.83,£39.16,£29.16,74.46%
Jewellery & Watches,Bangles,,BBTXH36IKSVSN,Tissot watch PR100,1,£110.00,£45.00,£10.83,£99.17,£54.17,54.62%
Jewellery & Watches,Bracelets,,BBTXYYE3FYPV9,Juicy Couture Bracelet,1,£19.99,£2.50,£2.91,£17.08,£14.58,85.36%
Jewellery & Watches,Bracelets,,BBTXM4RULGWQN,Bracelets,1,£29.99,£15.00,£2.50,£27.49,£12.49,45.44%
Jewellery & Watches,Bracelets,,BBTXSTYVQEUZS,Swarofski Bracelet and Green Stones,1,£29.99,£10.00,£3.33,£26.66,£16.66,62.49%
Jewellery & Watches,Bracelets,,BBTXKKSFCZAML,I <3 Mum Bracelet,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Jewellery & Watches,Bracelets,,BBTX1GQYX6KSK,Pandora Bracelet and Charms,1,£29.99,£15.00,£2.50,£27.49,£12.49,45.44%
Jewellery & Watches,Bracelets,,BBTXXFLX7I8BW,Charm Bracelet,-1,-£24.99,-£10.00,-£2.50,-£22.49,-£12.49,55.54%
Jewellery & Watches,Bracelets,,BBTX035106FBA,Pandora Bracelet,2,£39.98,£20.00,£3.33,£36.65,£16.65,45.43%
Jewellery & Watches,Bracelets,,BBTX658289E8A,Silver Bracelet,1,£9.99,£2.50,£1.25,£8.74,£6.24,71.40%
Jewellery & Watches,Bracelets,,BBTX9165644DF,Bracelets,2,£9.98,£4.00,£1.00,£8.98,£4.98,55.47%
Jewellery & Watches,Bracelets,,BBTXE6F1335D8,Pandora Bracelet,1,£49.99,£10.00,£6.66,£43.32,£33.32,76.92%
Jewellery & Watches,Bracelets,,BBTX8F293CA56,2.36g 9ct Bracelet,1,£59.99,£20.00,£6.66,£53.32,£33.32,62.49%
Jewellery & Watches,Bracelets,,BBTXDE3938E87,9 Carat gold bracelet with 375 hallmark some stones missing 12.8g,1,£310.00,£155.00,£25.83,£284.17,£129.17,45.45%
Jewellery & Watches,Bracelets,,BBTX54CAA53EA,pandora bracelet with 6 charms,1,£150.00,£50.00,£16.67,£133.33,£83.33,62.50%
Jewellery & Watches,Bracelets,,BBTX48E13C770,Bracelet and earring,1,£129.99,£40.00,£15.00,£114.99,£74.99,65.21%
Jewellery & Watches,Bracelets,,BBTX5685D1AC9,Bracelets,1,£79.99,£35.00,£7.50,£72.49,£37.49,51.72%
Jewellery & Watches,Bracelets,,BBTXF3A2EAE32,Charm Bracelet With Heart Pendant,-1,-£14.99,-£5.00,-£1.66,-£13.33,-£8.33,62.48%
Jewellery & Watches,Bracelets,,BBTX67A1CE18F,dress Bracelet,1,£14.99,£5.00,£1.66,£13.33,£8.33,62.48%
Jewellery & Watches,Bracelets,,BBTXA3E014420,Bracelets,1,£14.99,£5.00,£1.66,£13.33,£8.33,62.48%
Jewellery & Watches,Bracelets,,BBTX9EFA8F5BA,Bracelets,1,£19.99,£10.00,£1.66,£18.32,£8.32,45.43%
Jewellery & Watches,Bracelets,,BBTX856119F8F,pandora bracelet with 3 charms,1,£79.99,£25.00,£9.16,£70.82,£45.82,64.70%
Jewellery & Watches,Bracelets,,BBTX70C736171,"Dress jewlery, bracelet",1,£2.99,£0.50,£0.42,£2.58,£2.08,80.58%
Jewellery & Watches,Bracelets,,BBTX35797BAD6,Bracelets,1,£2.99,£0.50,£0.42,£2.58,£2.08,80.58%
Jewellery & Watches,Bracelets,,BBTX922FE8131,Bracelets,1,£2.99,£0.50,£0.42,£2.58,£2.08,80.58%
Jewellery & Watches,Bracelets,,BBTX2ACCA504A,Bracelets,1,£2.99,£0.50,£0.42,£2.58,£2.08,80.58%
Jewellery & Watches,Bracelets,,BBTX62E8AF843,Bracelets,1,£2.99,£0.50,£0.42,£2.58,£2.08,80.58%
Jewellery & Watches,Bracelets,,BBTXBD1D8AF38,Bracelets,1,£2.99,£0.50,£0.42,£2.58,£2.08,80.58%
Jewellery & Watches,Bracelets,,BBTXEAD4D6A9B,earring,1,£2.99,£0.50,£0.42,£2.58,£2.08,80.58%
Jewellery & Watches,Bracelets,,BBTX5EDFBC9A5,pendant,1,£2.99,£0.50,£0.42,£2.58,£2.08,80.58%
Jewellery & Watches,Bracelets,,BBTXCF467A731,Silver bracelet (925),1,£99.99,£20.00,£13.33,£86.66,£66.66,76.92%
